what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329312552000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312552500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312575141
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312576813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312577657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312578250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312578875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312581469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312581766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312969563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312973547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312973594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329312973610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329313169453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329313171735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329313720828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329313722000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329313982625
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329313983860
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329313985594
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1329313992032
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1329313994844
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329313994985
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1329314000688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314042235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314042282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314042313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314072219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314073032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314074063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314074750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314076532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314077938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314099032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314110000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314197610
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1329314200469
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329314200516
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329314201703
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1329314204594
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1329314209407
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1329314212547
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1329314213344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314230469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329314278547
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1329314285188
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1329314285203
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329314286438
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1329314288891
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1329314291750
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1329314291766
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1329314292578
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1329314306063
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1329314306078
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329314306985
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1329314310719
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329314314485
